feature,importance
therm_Christians,-0.12152396866928442
therm_Mislims,0.30125729270493
therm_ChrFundament,-0.2724239505769286
therm_hispanics,0.087117014731787
therm_RepParty,-1.2785480110569554
therm_DemParty,1.3288961919896316
therm_Whites,-0.16395861201094428
therm_liberals,0.6270063976240948
therm_conservatives,-0.4962479325078724
therm_Blacks,0.22120147851892064
Age,-0.032591519655282356
howOftenTrust_Missing,0.07715082729899349
howOftenTrust_1. Always,-0.4593593127771953
howOftenTrust_2. Most of the time,0.0562858858611493
howOftenTrust_3. About half the time,-0.07296854218023288
howOftenTrust_4. Once in a while,0.15908222062977578
howOftenTrust_5. Never,0.055047566353825836
follow_political_info_Missing,-0.3531447576202974
follow_political_info_1. Always,0.08788364080617196
follow_political_info_2. Most of the time,0.011172835321088374
follow_political_info_3. About half the time,-0.13966887948032203
follow_political_info_4. Some of the time,-0.011946585794409072
follow_political_info_5. Never,0.5585779820900143
bisexalFamilyorFriends_Missing,0.29407534587053397
bisexalFamilyorFriends_1. Yes,0.0
bisexalFamilyorFriends_2. No,-0.07012026127829588
blackInfluence_Politics_Missing,-0.13621865095279573
blackInfluence_Politics_1. Too much influence,-0.4442223273896341
blackInfluence_Politics_2. Just about the right amount,0.022207088863681577
blackInfluence_Politics_3. Too little influence,0.7553513650346793
sex_orientation_Missing,0.07083352300570514
sex_orientation_1. Heterosexual or straight,-0.04663207844570596
sex_orientation_2. Bisexual,-0.38922352949838623
sex_orientation_3. Homosexual or gay (or lesbian),0.6976682402836142
sex_orientation_unmatched category,-0.014315934053240447
powerDifference_Missing,0.11623742617175052
powerDifference_1. It doesn't make a difference who is in power,-0.02360474497663202
powerDifference_unmatched category,0.10601787913377744
powerDifference_unmatched category,0.07768885651431015
powerDifference_unmatched category,-0.21920805793118864
powerDifference_5. It makes a big difference who is in power,-0.17071515770517373
votingMakedifference_Missing,-0.07704319847505717
votingMakedifference_1. Won't make a difference,-0.12442351034589738
votingMakedifference_unmatched category,-0.2133171652407449
votingMakedifference_unmatched category,0.02162160699218025
votingMakedifference_unmatched category,0.23177860217495688
votingMakedifference_5. Can make a big difference,0.31656389187483824
satisfactionLife_Missing,-0.465889315077494
satisfactionLife_1. Extremely satisfied,0.17536515015356496
satisfactionLife_2. Very satisfied,-0.0022099737372831903
satisfactionLife_3. Moderately satisfied,0.0049602946112795865
satisfactionLife_4. Slightly satisfied,-0.026464278692137806
satisfactionLife_5. Not satisfied at all,0.0687259651966288
living_withFamily_Missing,0.04617836791512715
living_withFamily_1. Yes,0.07636227560798038
living_withFamily_2. No,-0.17100704159059305
satisfactionDemocracy_Missing,-0.015046878353165255
satisfactionDemocracy_1. Very satisfied,0.24145600967471248
satisfactionDemocracy_2. Fairly satisfied,0.04009041791998883
satisfactionDemocracy_3. Not very satisfied,-0.013744028616487417
satisfactionDemocracy_4. Not at all satisfied,-0.5593262942349538
meetingCommuntySchool_Missing,0.16565710289262053
meetingCommuntySchool_1. Yes,0.03917475406413316
meetingCommuntySchool_2. No,-0.1312029425125884
workedWithcommunity_Missing,0.43135488410213735
workedWithcommunity_1. Yes,-0.09141807932862711
workedWithcommunity_2. No,0.0
have_healthInsurance_Missing,0.005581829172107233
have_healthInsurance_1. Yes,-0.053488266345989875
have_healthInsurance_2. No,0.07791622733895738
authoritarian2_Missing,0.00906432804026618
authoritarian2_1. Obedience,0.018941410804042713
authoritarian2_2. Both (VOL),-0.2383505643006726
authoritarian2_3. Self-reliance,0.019728119587681912
authoritarian2_4. Neither (2020),0.0
authoritarian4_Missing,0.3244832958590111
authoritarian4_1. Independence,0.024598483233516433
authoritarian4_2. Both (VOL),-0.02540219776127447
authoritarian4_3. Respect for elders,-0.18965814216752422
authoritarian1_Missing,-0.024051203455993563
authoritarian1_1. Curiosity,0.031445668845843266
authoritarian1_2. Both (VOL),0.08654099013798003
authoritarian1_3. Good manners,-0.058730499322780925
authoritarian3_Missing,-0.3031880441905398
authoritarian3_1. Being considerate,0.03062407938450017
authoritarian3_2. Both (VOL),0.04405678868459065
